A2;Satz-ID;B2;B16
121;B;0001744356;90
121;B;0004838000;10
121;B;0000000396;10
121;B;0000000434;10
121;B;0000000663;10
121;B;0000000779;10
121;B;0000000876;90
121;B;0000000981;10
121;B;0000000990;10
121;B;0000001120;90
121;B;0000001341;10
121;B;0000001414;10
121;B;0000001503;90
121;B;0000001546;10
121;B;0000001562;10
121;B;0000001589;10
121;B;0000001597;10
121;B;0000001775;10
121;B;0000002054;90
121;B;0000002135;10
121;B;0000002208;90
121;B;0000002267;10
121;B;0000002356;10
121;B;0000002437;90
121;B;0000002534;90
121;B;0000002593;90
121;B;0000002658;90
121;B;0000002798;90
121;B;0000003107;90
121;B;0000003115;90
121;B;0000003182;10
121;B;0000003450;10
121;B;0000003573;10
121;B;0000003638;90
121;B;0000003670;90
121;B;0000003697;90
121;B;0000003824;10
121;B;0000003859;10
121;B;0000003905;90
121;B;0000003948;10
121;B;0000004120;90
121;B;0000004146;10
121;B;0000004154;90
121;B;0000004278;10
121;B;0000004472;10
121;B;0000004480;10
121;B;0000004510;10
121;B;0000004537;10
121;B;0000004626;90
121;B;0000004855;90
121;B;0000004898;10
121;B;0000004995;10
121;B;0000005010;90
121;B;0000005045;10
121;B;0000005061;90
121;B;0000005070;10
121;B;0000005258;10
121;B;0000005266;10
121;B;0000005487;10
121;B;0000005495;90
121;B;0000005550;10
121;B;0000005762;90
121;B;0000005797;10
121;B;0000005819;90
121;B;0000005886;90
121;B;0000006084;10
121;B;0000006246;90
121;B;0000006378;10
121;B;0000006505;90
121;B;0000006734;10
121;B;0000006769;10
121;B;0000006807;90
121;B;0000006858;10
121;B;0000006912;10
121;B;0000006947;10
121;B;0000007030;10
121;B;0000007242;10
121;B;0000007269;90
121;B;0000007358;90
121;B;0000007390;10
121;B;0000007420;90
121;B;0000007510;10
121;B;0000007609;10
121;B;0000007641;10
121;B;0000007676;10
121;B;0000007684;90
121;B;0000007773;90
121;B;0000007811;10
121;B;0000007820;10
121;B;0000007838;90
121;B;0000007846;90
121;B;0000007889;90
121;B;0000007951;90
121;B;0000007978;10
121;B;0000007994;90
121;B;0000008125;10
121;B;0000008192;10
121;B;0000008346;90
121;B;0000008370;10
121;B;0000008478;10
121;B;0000008494;10
121;B;0000008818;10
121;B;0000008877;10
121;B;0000009130;10
121;B;0000009156;10
121;B;0000009210;10
121;B;0000009261;10
121;B;0000009423;90
121;B;0000009490;10
121;B;0000009504;90
121;B;0000009636;10
121;B;0000009652;10
121;B;0000009784;10
121;B;0000009857;10
121;B;0000009970;10
121;B;0000009989;10
121;B;0000010022;10
121;B;0000010049;10
121;B;0000010103;10
121;B;0000010138;10
121;B;0000010146;10
121;B;0000010162;10
121;B;0000010227;90
121;B;0000010324;10
121;B;0000010430;10
121;B;0000010480;90
121;B;000/Users/ekaterina/Downloads/C_Zusatz5.0_121_06102017.csv0010499;10
121;B;0000010510;90
121;B;0000010570;10
121;B;0000010588;10
121;B;0000011070;10
121;B;0000011100;10
121;B;0000011126;10
121;B;0000011177;10
121;B;0000011215;10
121;B;0000011347;10
121;B;0000011355;10
121;B;0000011401;10
121;B;0000011410;10
121;B;0000011479;10
121;B;0000011509;90
121;B;0000011606;10
121;B;0000011665;10
121;B;0000011673;90
121;B;0000011797;10
121;B;0000011819;10
121;B;0000011835;10
121;B;0000011932;10
121;B;0000012122;10
121;B;0000012157;90
121;B;0000012211;10
121;B;0000012270;10
121;B;0000012297;10
121;B;0000012351;90
121;B;0000012386;10
121;B;0000012424;10
121;B;0000012483;10
121;B;0000012572;10
121;B;0000012645;10
121;B;0000012742;90
121;B;0000012793;10
121;B;0000012823;90
121;B;0000012912;10
121;B;0000012955;10
121;B;0000013005;10
121;B;0000013064;10
121;B;0000013099;10
121;B;0000013110;10
121;B;0000013161;10
121;B;0000013170;10
121;B;0000013250;10
121;B;0000013269;10
121;B;0000013315;10
121;B;0000013382;10
121;B;0000013447;10
121;B;0000013455;10
121;B;0000013471;10
121;B;0000013676;10
121;B;0000013684;10
121;B;0000013722;10
121;B;0000013790;10
121;B;0000013862;10
121;B;0000013900;10
121;B;0000013919;10
121;B;0000014060;10
121;B;0000014192;10
121;B;0000014206;10
121;B;0000014230;10
121;B;0000014281;10
121;B;0000014346;10
121;B;0000014524;10
121;B;0000014540;10
121;B;0000014567;10
121;B;0000014907;90
121;B;0000014923;90
121;B;0000015059;10
121;B;0000015369;90
121;B;0000015466;10
121;B;0000015482;10
121;B;0000015601;10
121;B;0000015717;10
121;B;0000015750;10
121;B;0000015784;10
121;B;0000016020;10
121;B;0000016063;10
121;B;0000016098;10
121;B;0000016101;10
121;B;0000016160;90
121;B;0000016217;90
121;B;0000016225;10
121;B;0000016233;10
121;B;0000016330;10
121;B;0000016357;10
121;B;0000016365;10
121;B;0000016381;10
121;B;0000016527;10
121;B;0000016632;10
121;B;0000016640;10
121;B;0000016683;10
121;B;0000016721;10
121;B;0000016764;10
121;B;0000016810;10
121;B;0000016853;10
121;B;0000016900;10
121;B;0000017043;10
121;B;0000017094;10
121;B;0000017140;10
121;B;0000017159;10
121;B;0000017205;10
121;B;0000017230;10
121;B;0000017264;10
121;B;0000017558;10
121;B;0000017566;90
121;B;0000017639;10
121;B;0000017680;10
121;B;0000017728;90
121;B;0000017752;10
121;B;0000017884;10
121;B;0000017957;10
121;B;0000018007;10
121;B;0000018066;10
121;B;0000018120;10
121;B;0000018244;10
121;B;0000018260;10
121;B;0000018430;10
121;B;0000018554;10
121;B;0000018597;10
121;B;0000018651;10
121;B;0000018716;90
121;B;0000018856;10
121;B;0000018872;10
121;B;0000019020;10
121;B;0000019135;10
121;B;0000019232;10
121;B;0000019445;10
121;B;0000019461;10
121;B;0000019542;90
121;B;0000019755;90
121;B;0000019771;10
121;B;0000019798;10
121;B;0000019828;10
121;B;0000019992;10
121;B;0000020087;10
121;B;0000020273;10
121;B;0000020281;10
121;B;0000020583;10
121;B;0000020745;10
121;B;0000020834;10
121;B;0000020850;10
121;B;0000020869;10
121;B;0000020877;10
121;B;0000020923;10
121;B;0000020931;10
121;B;0000020940;10
121;B;0000020990;90
121;B;0000021091;10
121;B;0000021318;10
121;B;0000021326;10
121;B;0000021342;10
121;B;0000021407;10
121;B;0000021555;10
121;B;0000021563;10
121;B;0000021610;10
121;B;0000021806;10
121;B;0000021873;10
121;B;0000021946;10
121;B;0000022039;10
121;B;0000022055;10
121;B;0000022101;10
121;B;0000022128;10
121;B;0000022357;10
121;B;0000022420;10
121;B;0000022527;10
121;B;0000022551;10
121;B;0000022586;90
121;B;0000022616;10
121;B;0000022713;10
121;B;0000022748;10
121;B;0000022942;10
121;B;0000023027;10
121;B;0000023051;10
121;B;0000023094;10
121;B;0000023205;10
121;B;0000023450;10
121;B;0000023639;10
121;B;0000023671;10
121;B;0000023817;10
121;B;0000023949;10
121;B;0000023973;10
121;B;0000024040;10
121;B;0000024180;10
121;B;0000024210;10
121;B;0000024244;10
121;B;0000024317;10
121;B;0000024350;10
121;B;0000024376;10
121;B;0000024503;10
121;B;0000024570;90
121;B;0000024619;10
121;B;0000024635;10
121;B;0000024716;90
121;B;0000024732;90
121;B;0000024740;10
121;B;0000024929;10
121;B;0000024961;10
121;B;0000025003;10
121;B;0000025143;10
121;B;0000025151;10
121;B;0000025194;10
121;B;0000025291;10
121;B;0000025399;10
121;B;0000025500;10
121;B;0000025585;10
121;B;0000025607;10
121;B;0000025658;90
121;B;0000025682;10
121;B;0000025739;10
121;B;0000025828;10
121;B;0000025879;90
121;B;0000025941;10
121;B;0000026000;10
121;B;0000026123;10
121;B;0000026190;90
121;B;0000026247;10
121;B;0000026280;10
121;B;0000026298;10
121;B;0000026409;10
121;B;0000026689;10
121;B;0000026735;10
121;B;0000026859;10
121;B;0000026930;10
121;B;0000027049;10
121;B;0000027057;10
121;B;0000027073;10
121;B;0000027359;10
121;B;0000027391;10
121;B;0000027405;10
121;B;0000027413;90
121;B;0000027456;10
121;B;0000027472;10
121;B;0000027480;10
121;B;0000027499;10
121;B;0000027537;10
121;B;0000027618;10
121;B;0000027634;10
121;B;0000027685;10
121;B;0000027740;10
121;B;0000027880;10
121;B;0000027960;10
121;B;0000028010;10
121;B;0000028053;10
121;B;0000028134;10
121;B;0000028274;10
121;B;0000028304;10
121;B;0000028436;90
121;B;0000028568;90
121;B;0000028673;10
121;B;0000028703;10
121;B;0000028746;10
121;B;0000028835;10
121;B;0000028860;10
121;B;0000029033;10
121;B;0000029041;10
121;B;0000029130;10
121;B;0000029173;10
121;B;0000029181;10
121;B;0000029300;10
121;B;0000029394;10
121;B;0000029491;10
121;B;0000029521;10
121;B;0000029556;10
121;B;0000029599;10
121;B;0000029661;10
121;B;0000029688;10
121;B;0000029769;10
121;B;0000029807;10
121;B;0000030180;10
121;B;0000030287;10
121;B;0000030295;10
121;B;0000030309;10
121;B;0000030376;10
121;B;0000035041;10
121;B;0000035114;10
121;B;0000035246;10
121;B;0000035270;10
121;B;0000035297;10
121;B;0000035378;10
121;B;0000035475;10
121;B;0000035556;10
121;B;0000035580;10
121;B;0000035769;10
121;B;0000035785;90
121;B;0000035890;10
121;B;0000035912;10
121;B;0000035998;10
121;B;0000036064;10
121;B;0000036102;10
121;B;0000036285;10
121;B;0000036374;10
121;B;0000036447;10
121;B;0000036480;10
121;B;0000036641;10
121;B;0000036730;10
121;B;0000036757;10
121;B;0000036889;10
121;B;0000037168;90
121;B;0000037346;10
121;B;0000037362;10
121;B;0000037400;10
121;B;0000037532;10
121;B;0000037672;10
121;B;0000037729;10
121;B;0000037761;10
121;B;0000037818;10
121;B;0000037842;10
121;B;0000037877;10
121;B;0000037940;10
121;B;0000038210;10
121;B;0000038253;10
121;B;0000038261;10
121;B;0000038300;10
121;B;0000038385;10
121;B;0000038563;90
121;B;0000038660;10
121;B;0000038695;10
121;B;0000038733;10
121;B;0000038741;10
121;B;0000038776;10
121;B;0000038814;10
121;B;0000038830;10
121;B;0000038865;10
121;B;0000038938;10
121;B;0000039144;10
121;B;0000039187;10
121;B;0000039322;10
121;B;0000039330;10
121;B;0000039381;10
121;B;0000039403;10
121;B;0000039462;10
121;B;0000039551;10
121;B;0000039560;10
121;B;0000039616;10
121;B;0000039730;10
121;B;0000039802;10
121;B;0000039829;10
121;B;0000040274;10
121;B;0000040606;10
121;B;0000040681;10
121;B;0000040789;10
121;B;0000040851;10
121;B;0000040878;10
121;B;0000041254;10
121;B;0000041262;10
121;B;0000041300;10
121;B;0000041394;10
121;B;0000041483;10
121;B;0000041564;10
121;B;0000041580;10
121;B;0000041645;10
121;B;0000042005;10
121;B;0000042080;10
121;B;0000042137;10
121;B;0000042145;10
121;B;0000042153;10
121;B;0000042161;10
121;B;0000042188;10
121;B;0000042196;10
121;B;0000042250;10
121;B;0000042340;10
121;B;0000042382;10
121;B;0000042455;10
121;B;0000042480;10
121;B;0000042536;10
121;B;0000042617;10
121;B;0000042714;10
121;B;0000042749;10
121;B;0000042820;10
121;B;0000042862;10
121;B;0000042870;10
121;B;0000042889;10
121;B;0000042978;10
121;B;0000043010;10
121;B;0000043087;10
121;B;0000043109;10
121;B;0000043265;10
121;B;0000043273;10
121;B;0000043346;10
121;B;0000043354;10
121;B;0000043397;10
121;B;0000043427;10
121;B;0000043451;10
121;B;0000043575;10
121;B;0000043605;10
121;B;0000043648;10
121;B;0000043672;90
121;B;0000043818;10
121;B;0000043842;10
121;B;0000044008;10
121;B;0000044067;10
121;B;0000044199;10
121;B;0000044202;10
121;B;0000044253;10
121;B;0000044369;10
121;B;0000044407;10
121;B;0000044440;10
121;B;0000044644;10
121;B;0000044776;10
121;B;0000044814;10
121;B;0000044849;10
121;B;0000044962;10
121;B;0000044970;10
121;B;0000045047;10
121;B;0000045217;10
121;B;0000045268;10
121;B;0000045292;10
121;B;0000045330;10
121;B;0000045420;10
121;B;0000045438;10
121;B;0000045683;90
121;B;0000045780;10
121;B;0000045810;10
121;B;0000045845;10
121;B;0000045853;10
121;B;0000046108;10
121;B;0000046159;10
121;B;0000046167;10
121;B;0000046205;10
121;B;0000046221;10
121;B;0000046230;10
121;B;0000046256;10
121;B;0000046264;10
121;B;0000046302;10
121;B;0000046370;90
121;B;0000046450;10
121;B;0000046582;10
121;B;0000046728;10
121;B;0000046779;10
121;B;0000046817;10
121;B;0000046841;90
121;B;0000046922;10
121;B;0000046949;10
121;B;0000046957;10
121;B;0000047031;10
121;B;0000047040;10
121;B;0000047066;10
121;B;0000047090;10
121;B;0000047180;10
121;B;0000047228;10
121;B;0000047350;10
121;B;0000047422;10
121;B;0000047449;10
121;B;0000047490;10
121;B;0000047546;10
121;B;0000047759;10
121;B;0000047805;10
121;B;0000047813;10
121;B;0000047830;10
121;B;0000047848;10
121;B;0000047929;10
121;B;0000047970;10
121;B;0000047988;10
121;B;0000048003;10
121;B;0000048011;10
121;B;0000048020;10
121;B;0000048038;10
121;B;0000048054;10
121;B;0000048062;10
121;B;0000048070;10
121;B;0000048100;10
121;B;0000048119;10
121;B;0000048178;10
121;B;0000048208;10
121;B;0000048232;10
121;B;0000048259;10
121;B;0000048275;10
121;B;0000048283;10
121;B;0000048291;10
121;B;0000048305;10
121;B;0000048313;10
121;B;0000048330;10
121;B;0000048364;10
121;B;0000048380;10
121;B;0000048399;10
121;B;0000048402;10
121;B;0000048410;10
121;B;0000048445;10
121;B;0000048550;10
121;B;0000048577;10
121;B;0000048585;10
121;B;0000048615;10
121;B;0000048623;10
121;B;0000048640;10
121;B;0000048658;10
121;B;0000048674;10
121;B;0000048682;10
121;B;0000048720;10
121;B;0000048810;10
121;B;0000048828;10
121;B;0000048836;10
121;B;0000048860;10
121;B;0000048895;10
121;B;0000048917;10
121;B;0000048925;10
121;B;0000048950;10
121;B;0000048968;10
121;B;0000048992;10
121;B;0000049000;10
121;B;0000049026;10
121;B;0000049034;10
121;B;0000049042;10
121;B;0000049093;10
121;B;0000049107;10
121;B;0000049115;10
121;B;0000049123;10
121;B;0000049131;10
121;B;0000049166;10
121;B;0000049190;10
121;B;0000049204;10
121;B;0000049212;10
121;B;0000049220;10
121;B;0000049255;10
121;B;0000049263;10
121;B;0000049301;10
121;B;0000049310;10
121;B;0000049344;10
121;B;0000049379;10
121;B;0000049387;10
121;B;0000049417;10
121;B;0000049476;10
121;B;0000049484;10
121;B;0000049689;10
121;B;0000049697;10
121;B;0000049700;10
121;B;0000049735;10
121;B;0000049786;10
121;B;0000049824;10
121;B;0000049883;10
121;B;0000049891;10
121;B;0000049905;10
121;B;0000049913;10
121;B;0000049921;10
121;B;0000049948;10
121;B;0000049956;10
121;B;0000049964;10
121;B;0000049972;10
121;B;0000049999;10
121;B;0000050008;10
121;B;0000050024;10
121;B;0000050032;10
121;B;0000050121;10
121;B;0000050164;10
121;B;0000050180;10
121;B;0000050199;10
121;B;0000050202;10
121;B;0000050210;10
121;B;0000050253;10
121;B;0000050261;10
121;B;0000050288;10
121;B;0000050296;10
121;B;0000050300;10
121;B;0000050342;10
121;B;0000050369;10
121;B;0000050393;10
121;B;0000050407;10
121;B;0000050415;10
121;B;0000050423;10
121;B;0000050474;10
121;B;0000050490;10
121;B;0000050512;10
121;B;0000050555;10
121;B;0000050571;10
121;B;0000050580;10
121;B;0000050598;10
121;B;0000050644;10
121;B;0000050652;10
121;B;0000050660;10
121;B;0000050717;10
121;B;0000050725;10
121;B;0000050733;10
121;B;0000050741;10
121;B;0000050750;10
121;B;0000050776;10
121;B;0000050814;10
121;B;0000050822;10
121;B;0000050830;10
121;B;0000050873;90
121;B;0000050946;10
121;B;0000050962;10
121;B;0000050970;10
121;B;0000051004;10
121;B;0000051047;10
121;B;0000051080;10
121;B;0000051144;10
121;B;0000051209;10
121;B;0000051217;10
121;B;0000051233;10
121;B;0000051241;10
121;B;0000051250;10
121;B;0000051276;10
121;B;0000051292;10
121;B;0000051322;10
121;B;0000051330;10
121;B;0000051349;10
121;B;0000051357;10
121;B;0000051365;10
121;B;0000051381;10
121;B;0000051403;10
121;B;0000051420;10
121;B;0000051470;10
121;B;0000051489;10
121;B;0000051497;10
121;B;0000051500;10
121;B;0000051535;10
121;B;0000051551;10
121;B;0000051560;10
121;B;0000051608;10
121;B;0000051640;10
121;B;0000051659;10
121;B;0000051667;10
121;B;0000051675;10
121;B;0000051683;10
121;B;0000051705;10
121;B;0000051713;10
121;B;0000051748;10
121;B;0000051756;10
121;B;0000051772;10
121;B;0000051799;10
121;B;0000051829;10
121;B;0000051837;10
121;B;0000051969;10
121;B;0000051993;10
121;B;0000052035;10
121;B;0000052060;10
121;B;0000052086;10
121;B;0000052124;10
121;B;0000052132;10
121;B;0000052205;10
121;B;0000052248;10
121;B;0000052256;10
121;B;0000052329;10
121;B;0000052388;10
121;B;0000052396;10
121;B;0000052426;10
121;B;0000052434;10
121;B;0000052442;10
121;B;0000052469;10
121;B;0000052485;10
121;B;0000052493;10
121;B;0000052507;10
121;B;0000052531;10
121;B;0000052574;10
121;B;0000052590;10
121;B;0000052620;10
121;B;0000052639;10
121;B;0000052663;10
121;B;0000052671;10
121;B;0000052744;10
121;B;0000052779;10
121;B;0000052787;10
121;B;0000052809;10
121;B;0000052817;10
121;B;0000052833;10
121;B;0000052868;10
121;B;0000052876;10
121;B;0000053074;10
121;B;0000053090;10
121;B;0000053104;10
121;B;0000053120;10
121;B;0000053147;10
121;B;0000053180;10
121;B;0000053198;10
121;B;0000053201;10
121;B;0000053210;10
121;B;0000053236;10
121;B;0000053252;10
121;B;0000053260;10
121;B;0000053279;10
121;B;0000053341;10
121;B;0000053392;10
121;B;0000053430;10
121;B;0000053457;10
121;B;0000053473;10
121;B;0000053511;10
121;B;0000053520;10
121;B;0000053538;10
121;B;0000053546;10
121;B;0000053554;10
121;B;0000053562;10
121;B;0000053589;10
121;B;0000053597;10
121;B;0000053600;10
121;B;0000053619;10
121;B;0000053627;10
121;B;0000053635;10
121;B;0000053643;10
121;B;0000053651;10
121;B;0000053686;10
121;B;0000053740;10
121;B;0000053759;10
121;B;0000053767;10
121;B;0000053791;10
121;B;0000053830;10
121;B;0000053848;10
121;B;0000053899;10
121;B;0000053902;10
121;B;0000053945;10
121;B;0000053996;10
121;B;0000054011;10
121;B;0000054046;10
121;B;0000054054;10
121;B;0000054062;10
121;B;0000054070;10
121;B;0000054097;10
121;B;0000054100;10
121;B;0000054151;90
121;B;0000054194;10
121;B;0000054232;10
121;B;0000054259;10
121;B;0000054313;10
121;B;0000054321;10
121;B;0000054348;10
121;B;0000054437;10
121;B;0000054496;10
121;B;0000054534;10
121;B;0000054569;10
121;B;0000054607;10
121;B;0000054631;10
121;B;0000054640;10
121;B;0000054674;10
121;B;0000054682;10
121;B;0000054712;10
121;B;0000054720;10
121;B;0000054747;10
121;B;0000054780;10
121;B;0000054798;10
121;B;0000054801;10
121;B;0000054828;10
121;B;0000054844;10
121;B;0000054852;10
121;B;0000054925;10
121;B;0000054941;10
121;B;0000054968;10
121;B;0000054976;10
121;B;0000054992;10
121;B;0000055026;10
121;B;0000055077;10
121;B;0000055107;10
121;B;0000055115;10
121;B;0000055190;10
121;B;0000055204;10
121;B;0000055247;10
121;B;0000055271;10
121;B;0000055344;10
121;B;0000055387;10
121;B;0000055395;10
121;B;0000055433;10
121;B;0000055441;10
121;B;0000055450;10
121;B;0000055476;10
121;B;0000055514;10
121;B;0000055522;10
121;B;0000055530;10
121;B;0000055565;10
121;B;0000055581;10
121;B;0000055603;10
121;B;0000055620;10
121;B;0000055638;10
121;B;0000055646;10
121;B;0000055697;10
121;B;0000055719;10
121;B;0000055727;10
121;B;0000055760;10
121;B;0000055794;10
121;B;0000055832;10
121;B;0000055859;10
121;B;0000055867;10
121;B;0000055883;10
121;B;0000055913;10
121;B;0000055921;10
121;B;0000055930;10
121;B;0000055948;10
121;B;0000055956;10
121;B;0000055964;10
121;B;0000055972;10
121;B;0000056006;10
121;B;0000056014;10
121;B;0000056090;10
121;B;0000056111;10
121;B;0000056138;10
121;B;0000056146;10
121;B;0000056162;10
121;B;0000056170;10
121;B;0000056189;10
121;B;0000056219;10
121;B;0000056227;10
121;B;0000056260;10
121;B;0000056278;10
121;B;0000056286;10
121;B;0000056308;10
121;B;0000056324;10
121;B;0000056359;10
121;B;0000056383;10
121;B;0000056391;90
121;B;0000056421;10
121;B;0000056430;10
